,1. open,2. high,3. low,4. close,5. volume
2002-06-14,1027.5300,1039.0400,981.6300,1007.2700,7188820000
2002-06-21,1007.2700,1040.8300,985.6500,989.1400,6652700000
2002-06-28,989.1400,1005.8800,952.9200,989.8200,9106190000
2002-07-05,989.8200,994.4600,934.8700,989.0300,5475700000
2002-07-12,989.0300,993.5600,900.9400,921.3900,8038080000
2002-07-19,921.3900,926.5200,842.0700,847.7500,11375400000
2002-07-26,847.7600,854.1300,775.6800,852.8400,11685440000
2002-08-02,852.8400,911.6400,852.8400,864.2400,8864400000
2002-08-09,864.2400,913.9500,833.4400,908.6400,7371600000
2002-08-16,908.6400,935.3800,876.2000,928.7700,6638400000
2002-08-23,928.7700,965.0000,927.2100,940.8600,6405900000
2002-08-30,940.8600,955.8200,903.3300,916.0700,5672200000
2002-09-06,916.0700,916.0700,870.5000,893.9200,5247700000
2002-09-13,893.9200,924.0200,877.0500,889.8100,5626200000
2002-09-20,889.8100,902.6800,839.0900,845.3900,7267800000
2002-09-27,845.3900,856.6000,817.3800,827.3700,7860140000
2002-10-04,827.3700,851.9300,794.1000,800.5800,8682100000
2002-10-11,800.5800,843.2700,768.6300,835.3200,9344320000
2002-10-18,835.3200,886.6800,828.3700,884.3900,7944790000
2002-10-25,884.3900,902.9400,873.0600,897.6500,7631070000
2002-11-01,897.6500,907.4400,867.9100,900.9600,7426300000
2002-11-08,900.9600,925.6600,891.6200,894.7400,7587400000
2002-11-15,894.7400,910.2100,872.0500,909.8300,6872600000
2002-11-22,909.8300,937.2800,893.0900,930.5500,8179200000
2002-11-29,930.5500,941.8200,912.1000,936.3100,5111360000
2002-12-06,936.3100,954.2800,895.9600,912.2300,7180600000
2002-12-13,912.2300,912.2300,888.4800,889.4800,6478600000
2002-12-20,889.4800,911.2200,880.3200,895.7600,7138230000
2002-12-27,895.7400,903.8900,873.6200,875.4000,3049910000
2003-01-03,875.4000,911.2500,869.4500,908.5900,4506300000
2003-01-10,908.5900,932.8900,908.3200,927.5700,7494400000
2003-01-17,927.5700,935.0500,899.0200,901.7800,7100600000
2003-01-24,901.7800,906.0000,859.7100,861.4000,6215350000
2003-01-31,861.4000,868.7200,840.3400,855.7000,7579230000
2003-02-07,855.7000,864.6400,826.7000,829.6900,6868600000
2003-02-14,829.6900,843.0200,806.2900,834.8900,6699600000
2003-02-21,834.8900,852.8700,831.4800,848.1700,4918700000
2003-02-28,848.1700,848.1700,818.5400,841.1500,6748400000
2003-03-07,841.1500,852.3400,811.2300,828.8900,6465900000
2003-03-14,828.8900,841.3900,788.9000,833.2700,7660900000
2003-03-21,833.2700,895.9000,827.1700,895.7900,8051730000
2003-03-28,895.7900,895.7900,858.0900,863.5000,6406000000
2003-04-04,863.5000,885.8900,843.6800,878.8500,7127600000
2003-04-11,878.8500,904.8900,862.7600,868.3000,6440000000
2003-04-17,868.3000,896.7700,868.3000,893.5800,5609400000
2003-04-25,893.5800,919.7400,886.7000,898.8100,7401000000
2003-05-02,898.8100,930.5600,898.8100,930.0800,7538910000
2003-05-09,930.0800,939.6100,919.7200,933.4100,7333500000
2003-05-16,933.4100,948.6500,929.3000,944.3000,7212900000
2003-05-23,944.3000,944.3000,912.0500,933.2200,6988300000
2003-05-30,933.2200,965.3800,927.3300,963.5900,6465600000
2003-06-06,963.5900,1007.6900,963.5900,987.7600,8261700000
2003-06-13,987.7600,1002.7400,972.5900,988.6100,6927100000
2003-06-20,988.6100,1015.3300,988.6100,995.6900,7542600000
2003-06-27,995.6900,995.6900,973.8000,976.2200,6900800000
2003-07-03,976.2200,995.0000,962.1000,985.7000,5342600000
2003-07-11,985.7000,1010.4300,983.6300,998.1400,7291200000
2003-07-18,998.1400,1015.4100,978.6000,993.3200,7656100000
2003-07-25,993.3200,998.8900,975.6300,998.6800,7013100000
2003-08-01,998.6800,1004.5900,978.8600,980.1500,7228000000
2003-08-08,980.1500,985.7500,960.8400,977.5900,6637300000
2003-08-15,977.5900,992.5000,974.2100,990.6700,5186470000
2003-08-22,990.6700,1011.0100,990.6700,993.0600,6355000000
2003-08-29,993.0600,1008.8500,983.5700,1008.0100,5312100000
2003-09-05,1008.0100,1029.3400,1005.7300,1021.3900,6065200000
2003-09-12,1021.3900,1032.4100,1007.7100,1018.6300,6868800000
2003-09-19,1018.6300,1040.2900,1013.5900,1036.3000,6910110000
2003-09-26,1036.3000,1036.3000,996.0800,996.8500,7139000000
2003-10-03,996.8500,1039.3101,990.3600,1029.8500,7363100000
2003-10-10,1029.8500,1048.2800,1026.2700,1038.0601,6254600000
2003-10-17,1038.0601,1053.7900,1036.5699,1039.3199,6603200000
2003-10-24,1039.3199,1048.5699,1018.3200,1028.9100,7342400000
2003-10-31,1028.9100,1053.0900,1028.9100,1050.7100,7692200000
2003-11-07,1050.7100,1062.3900,1044.8800,1053.2100,7092000000
